table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default
sch_auditoria,audits,1,id,bigint,int8,NO,nextval('sch_auditoria.audits_id_seq'::regclass)
sch_auditoria,audits,2,user_type,character varying,varchar,YES,
sch_auditoria,audits,3,user_id,uuid,uuid,YES,
sch_auditoria,audits,4,event,character varying,varchar,NO,
sch_auditoria,audits,5,auditable_type,character varying,varchar,NO,
sch_auditoria,audits,6,auditable_id,bigint,int8,NO,
sch_auditoria,audits,7,old_values,text,text,YES,
sch_auditoria,audits,8,new_values,text,text,YES,
sch_auditoria,audits,9,url,text,text,YES,
sch_auditoria,audits,10,ip_address,inet,inet,YES,
sch_auditoria,audits,11,user_agent,character varying,varchar,YES,
sch_auditoria,audits,12,tags,character varying,varchar,YES,
sch_auditoria,audits,13,created_at,timestamp without time zone,timestamp,YES,
sch_auditoria,audits,14,updated_at,timestamp without time zone,timestamp,YES,
sch_auditoria,audits,15,user_name,character varying,varchar,YES,
sch_auditoria,t_logs,1,id,bigint,int8,NO,nextval('sch_auditoria.t_logs_id_seq'::regclass)
sch_auditoria,t_logs,2,fecha_hora,timestamp without time zone,timestamp,NO,CURRENT_TIMESTAMP
sch_auditoria,t_logs,3,id_nivel,integer,int4,NO,
sch_auditoria,t_logs,4,mensaje,text,text,NO,
sch_auditoria,t_logs,5,id_modulo,integer,int4,NO,
sch_auditoria,t_logs,6,detalles,jsonb,jsonb,YES,
sch_auditoria,t_logs,7,origen,character varying,varchar,YES,
sch_auditoria,t_logs,8,codigo_error,character varying,varchar,YES,
sch_auditoria,t_niveles_modulos_log,1,id,integer,int4,NO,
sch_auditoria,t_niveles_modulos_log,2,id_nivel,integer,int4,NO,
sch_auditoria,t_niveles_modulos_log,3,id_modulo,integer,int4,NO,
sch_auditoria,t_niveles_modulos_log,4,activo,bit,bit,NO,"'1'::""bit"""
sch_auditoria,tm_modulos_log,1,id,integer,int4,NO,
sch_auditoria,tm_modulos_log,2,nombre,character varying,varchar,NO,
sch_auditoria,tm_modulos_log,3,activo,bit,bit,NO,"'1'::""bit"""
sch_auditoria,tm_niveles_log,1,id,integer,int4,NO,
sch_auditoria,tm_niveles_log,2,nombre,character varying,varchar,NO,
sch_auditoria,tm_niveles_log,3,orden,integer,int4,YES,
sch_auditoria,tm_niveles_log,4,activo,bit,bit,NO,"'1'::""bit"""
sch_convenios,t_capitas,1,id,bigint,int8,NO,nextval('sch_convenios.t_capitas_id_seq'::regclass)
sch_convenios,t_capitas,2,nombre,character varying,varchar,NO,
sch_convenios,t_capitas,3,id_financiador,bigint,int8,NO,
sch_convenios,t_capitas,4,fecha_baja,timestamp with time zone,timestamptz,YES,
sch_convenios,t_catalogos,1,id,bigint,int8,NO,nextval('sch_convenios.t_catalogos_id_seq'::regclass)
sch_convenios,t_catalogos,2,nombre,character varying,varchar,NO,
sch_convenios,t_catalogos,3,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_catalogos,4,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_catalogos,5,activo,bit,bit,NO,"'1'::""bit"""
sch_convenios,t_catalogos,6,fecha_baja,timestamp with time zone,timestamptz,YES,
sch_convenios,t_catalogos_convenios,1,id,bigint,int8,NO,nextval('sch_convenios.t_catalogos_convenios_id_seq'::regclass)
sch_convenios,t_catalogos_convenios,2,id_catalogo,bigint,int8,NO,
sch_convenios,t_catalogos_convenios,3,id_convenio,bigint,int8,NO,
sch_convenios,t_catalogos_convenios,4,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_catalogos_convenios,5,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_clasificacion_prestaciones,1,id,bigint,int8,NO,nextval('sch_convenios.t_clasificacion_prestaciones_id_seq'::regclass)
sch_convenios,t_clasificacion_prestaciones,2,nombre_clasificacion,character varying,varchar,NO,
sch_convenios,t_clasificacion_prestaciones,3,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_clasificacion_prestaciones,4,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_clasificacion_prestaciones_valores,1,id,bigint,int8,NO,nextval('sch_convenios.t_clasificacion_prestaciones_valores_id_seq'::regclass)
sch_convenios,t_clasificacion_prestaciones_valores,2,id_clasificacion,bigint,int8,NO,
sch_convenios,t_clasificacion_prestaciones_valores,3,nombre_valor,character varying,varchar,NO,
sch_convenios,t_clasificacion_prestaciones_valores,4,fecha_vigencia_inicio,timestamp with time zone,timestamptz,YES,
sch_convenios,t_clasificacion_prestaciones_valores,5,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_clasificacion_prestaciones_valores_catalogo,1,id,bigint,int8,NO,nextval('sch_convenios.t_clasificacion_prestaciones_valores_catalogo_id_seq'::regclass)
sch_convenios,t_clasificacion_prestaciones_valores_catalogo,2,id_prestacion_catalogo,bigint,int8,NO,
sch_convenios,t_clasificacion_prestaciones_valores_catalogo,3,id_clasificacion_prestacion_valor,bigint,int8,NO,
sch_convenios,t_clasificacion_prestaciones_valores_catalogo,4,fecha_vigencia_inicio,timestamp with time zone,timestamptz,YES,
sch_convenios,t_clasificacion_prestaciones_valores_catalogo,5,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_clasificacion_prestaciones_valores_referencia,1,id,bigint,int8,NO,nextval('sch_convenios.t_clasificacion_prestaciones_valores_referencia_id_seq'::regclass)
sch_convenios,t_clasificacion_prestaciones_valores_referencia,2,id_prestacion,bigint,int8,NO,
sch_convenios,t_clasificacion_prestaciones_valores_referencia,3,id_clasificacion_prestacion_valor,bigint,int8,NO,
sch_convenios,t_clasificacion_prestaciones_valores_referencia,4,fecha_vigencia_inicio,timestamp with time zone,timestamptz,YES,
sch_convenios,t_clasificacion_prestaciones_valores_referencia,5,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_clasificaciones,1,id,bigint,int8,NO,nextval('sch_convenios.t_clasificaciones_id_seq'::regclass)
sch_convenios,t_clasificaciones,2,nombre,character varying,varchar,NO,
sch_convenios,t_clasificaciones,3,estado,bit,bit,NO,"'1'::""bit"""
sch_convenios,t_clasificaciones_convenios_planes,1,id,bigint,int8,NO,nextval('sch_convenios.t_clasificaciones_convenios_planes_id_seq'::regclass)
sch_convenios,t_clasificaciones_convenios_planes,2,id_convenio_plan,bigint,int8,NO,
sch_convenios,t_clasificaciones_convenios_planes,3,id_tipo_inclusion,bigint,int8,NO,
sch_convenios,t_clasificaciones_convenios_planes,4,id_clasificacion_prestacion_valor,bigint,int8,NO,
sch_convenios,t_clasificaciones_convenios_planes,5,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_clasificaciones_convenios_planes,6,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_clasificaciones_valores,1,id,bigint,int8,NO,nextval('sch_convenios.t_valores_clasificaciones_id_seq'::regclass)
sch_convenios,t_clasificaciones_valores,2,nombre,character varying,varchar,NO,
sch_convenios,t_clasificaciones_valores,3,activo,bit,bit,NO,"'1'::""bit"""
sch_convenios,t_clasificaciones_valores,4,id_clasificacion,bigint,int8,NO,
sch_convenios,t_componentes,1,id,bigint,int8,NO,nextval('sch_convenios.t_componentes_id_seq'::regclass)
sch_convenios,t_componentes,2,id_tipo_componente,integer,int4,NO,
sch_convenios,t_componentes,3,nombre,character varying,varchar,NO,
