table_schema,table_name,indexname,indexdef
sch_auditoria,audits,audits_pkey,CREATE UNIQUE INDEX audits_pkey ON sch_auditoria.audits USING btree (id)
sch_auditoria,audits,sch_auditoria_audits_auditable_type_auditable_id_index,"CREATE INDEX sch_auditoria_audits_auditable_type_auditable_id_index ON sch_auditoria.audits USING btree (auditable_type, auditable_id)"
sch_auditoria,audits,sch_auditoria_audits_user_id_user_type_index,"CREATE INDEX sch_auditoria_audits_user_id_user_type_index ON sch_auditoria.audits USING btree (user_id, user_type)"
sch_auditoria,t_logs,idx_fecha_hora,CREATE INDEX idx_fecha_hora ON sch_auditoria.t_logs USING btree (fecha_hora)
sch_auditoria,t_logs,idx_nivel,CREATE INDEX idx_nivel ON sch_auditoria.t_logs USING btree (id_nivel)
sch_auditoria,t_logs,pk_log_id,CREATE UNIQUE INDEX pk_log_id ON sch_auditoria.t_logs USING btree (id)
sch_auditoria,t_niveles_modulos_log,pk_niveles_modulos_log_id,CREATE UNIQUE INDEX pk_niveles_modulos_log_id ON sch_auditoria.t_niveles_modulos_log USING btree (id)
sch_auditoria,tm_modulos_log,pk_modulos_log_id,CREATE UNIQUE INDEX pk_modulos_log_id ON sch_auditoria.tm_modulos_log USING btree (id)
sch_auditoria,tm_niveles_log,pk_niveles_log_id,CREATE UNIQUE INDEX pk_niveles_log_id ON sch_auditoria.tm_niveles_log USING btree (id)
sch_convenios,t_capitas,pk_capitas_id,CREATE UNIQUE INDEX pk_capitas_id ON sch_convenios.t_capitas USING btree (id)
sch_convenios,t_catalogos,pk_catalogos_id,CREATE UNIQUE INDEX pk_catalogos_id ON sch_convenios.t_catalogos USING btree (id)
sch_convenios,t_catalogos_convenios,pk_catalogos_convenios_id,CREATE UNIQUE INDEX pk_catalogos_convenios_id ON sch_convenios.t_catalogos_convenios USING btree (id)
sch_convenios,t_catalogos_convenios,uk_catalogos_convenios_catalog_conve_fec_vig_fin,"CREATE UNIQUE INDEX uk_catalogos_convenios_catalog_conve_fec_vig_fin ON sch_convenios.t_catalogos_convenios USING btree (id_catalogo, id_convenio, fecha_vigencia_fin)"
sch_convenios,t_clasificacion_prestaciones,pk_clasificacion_prestaciones_id,CREATE UNIQUE INDEX pk_clasificacion_prestaciones_id ON sch_convenios.t_clasificacion_prestaciones USING btree (id)
sch_convenios,t_clasificacion_prestaciones_valores,pk_clasificacion_prestaciones_valores_id,CREATE UNIQUE INDEX pk_clasificacion_prestaciones_valores_id ON sch_convenios.t_clasificacion_prestaciones_valores USING btree (id)
sch_convenios,t_clasificacion_prestaciones_valores_catalogo,pk_clasificacion_prestaciones_valores_catalogo_id,CREATE UNIQUE INDEX pk_clasificacion_prestaciones_valores_catalogo_id ON sch_convenios.t_clasificacion_prestaciones_valores_catalogo USING btree (id)
sch_convenios,t_clasificacion_prestaciones_valores_catalogo,uq_prestacion_catalogo_clasificacion_valor,"CREATE UNIQUE INDEX uq_prestacion_catalogo_clasificacion_valor ON sch_convenios.t_clasificacion_prestaciones_valores_catalogo USING btree (id_prestacion_catalogo, id_clasificacion_prestacion_valor)"
sch_convenios,t_clasificacion_prestaciones_valores_referencia,pk_clasificacion_prestaciones_valores_ref_id,CREATE UNIQUE INDEX pk_clasificacion_prestaciones_valores_ref_id ON sch_convenios.t_clasificacion_prestaciones_valores_referencia USING btree (id)
sch_convenios,t_clasificaciones,pk_clasificaciones_id,CREATE UNIQUE INDEX pk_clasificaciones_id ON sch_convenios.t_clasificaciones USING btree (id)
sch_convenios,t_clasificaciones_convenios_planes,pk_clasificaciones_convenios_planes_id,CREATE UNIQUE INDEX pk_clasificaciones_convenios_planes_id ON sch_convenios.t_clasificaciones_convenios_planes USING btree (id)
sch_convenios,t_clasificaciones_valores,pk_valores_id,CREATE UNIQUE INDEX pk_valores_id ON sch_convenios.t_clasificaciones_valores USING btree (id)
sch_convenios,t_componentes,pk_componente_id,CREATE UNIQUE INDEX pk_componente_id ON sch_convenios.t_componentes USING btree (id)
